"Contract Number","Plan Count","Organization Name","Organization Marketing Name","Parent Organization"
"H3908","2","TRINITY HEALTH LIFE PENNSYLVANIA, INC.","Mercy LIFE - West Philadelphia","Trinity Health Corporation"
"H3909","7","QCC INSURANCE COMPANY","Independence Blue Cross","Independence Health Group, Inc."
"H3916","37","HIGHMARK SENIOR HEALTH COMPANY","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health"
"H3917","2","PITTSBURGH CARE PARTNERSHIP, INC.","Community LIFE","UPMC Health System"
"H3918","2","LIVING INDEPENDENCE FOR THE ELDERLY PITTSBURGH INC","LIFE Pittsburgh","Living Independence for the Elderly Pittsburgh Inc"
"H3919","2","Mercy LIFE","Mercy LIFE","Trinity Health Corporation"
"H3923","14","CAPITAL ADVANTAGE INSURANCE COMPANY","Capital Blue Cross","CAPITAL BLUE CROSS"
"H3924","4","GEISINGER INDEMNITY INSURANCE COMPANY","Geisinger Gold","Risant Health, Inc."
"H3925","2","PENNSYLVANIA PACE, INC.","Senior LIFE Johnstown","Pennsylvania PACE, Inc."
"H3928","3","AETNA HEALTH INC. (LA)","Aetna Medicare","CVS Health Corporation"
"H3931","32","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation"
"H3933","2","OSF HEALTHCARE SYSTEM","OSF Healthcare PACE","OSF Healthcare System"
"H3942","2","ELDERHAUS INC.","Elderhaus PACE","EveryAge"
"H3949","13","BRAVO HEALTH PENNSYLVANIA, INC.","HealthSpring","Health Care Service Corporation"
"H3952","14","KEYSTONE HEALTH PLAN EAST, INC.","Independence Blue Cross","Independence Health Group, Inc."
"H3954","11","GEISINGER HEALTH PLAN","Geisinger Gold","Risant Health, Inc."
"H3957","22","HIGHMARK CHOICE COMPANY","Highmark Blue Cross Blue Shield or Highmark Blue Shield","Highmark Health"
"H3959","28","AETNA HEALTH INC. (PA)","Aetna Medicare","CVS Health Corporation"
"H3962","8","KEYSTONE HEALTH PLAN CENTRAL, INC.","Capital Blue Cross","CAPITAL BLUE CROSS"
"H3975","3","WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC","Wellcare","Centene Corporation"
"H3979","4","GHS HEALTH MAINTENANCE ORGANIZATION, INC.","Blue Cross and Blue Shield of Oklahoma","Health Care Service Corporation"
"H3991","2","CONCERTOHEALTH OF NORTHERN VIRGINIA, LLC","Cherry Blossom PACE","Valir PACE Virginia, LLC"
"H4003","20","MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","Elevance Health, Inc."
"H4004","24","MMM HEALTHCARE, LLC","Medicare y Mucho Mas (MMM)","Elevance Health, Inc."
"H4005","8","TRIPLE S ADVANTAGE, INC.","Triple-S Advantage","Guidewell Mutual Holding Corporation"
"H4026","2","SCAN HEALTH PLAN (WA)","SCAN Health Plan","SCAN Group"
"H4032","2","UNITEDHEALTHCARE OF THE ROCKIES, INC.","UnitedHealthcare","UnitedHealth Group, Inc."
"H4036","32","ANTHEM INSURANCE COMPANIES, INC.","Anthem Blue Cross and Blue Shield","Elevance Health, Inc."
"H4045","1","SANTA CLARA COUNTY HEALTH AUTHORITY","Santa Clara Family Health Plan","SANTA CLARA COUNTY HEALTH AUTHORITY"
"H4053","2","PRISMA HEALTH-UPSTATE","Prisma Health SeniorCare PACE-Upstate","Prisma Health"
"H4054","1","PROVIDER PARTNERS HEALTH PLAN OF TEXAS, INC.","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H4057","1","KERN HEALTH SYSTEMS","Kern Family Health Care Medicare (D-SNP)","Kern Health Systems (KHS)"
"H4073","4","WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.","Wellcare","Centene Corporation"
"H4074","2","MERCY LIFE OF ALABAMA","Mercy LIFE of Alabama","Trinity Health Corporation"
"H4091","3","SIMPRA ADVANTAGE, INC.","Simpra Advantage","Associated Care Ventures, Inc."
"H4093","3","PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC","Provider Partners Health Plans","Rifkin Managed Care Holding, LLC"
"H4105","2","PACE ORGANIZATION OF RHODE ISLAND","PACE Organization Of Rhode Island","PACE Organization of Rhode Island"
"H4118","2","THE WASHTENAW PACE","Huron Valley PACE","Utd Methodist Retirement Communities of SE MI"
"H4140","9","DOCTORS HEALTHCARE PLANS, INC.","Doctors HealthCare Plans, Inc.","DOCTORS HEALTHCARE PLANS, INC."
"H4141","11","HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC.","Humana","Humana Inc."
"H4142","2","CHEROKEE NATION COMPREHENSIVE CARE AGENCY","Cherokee Elder Care","Cherokee Nation Comprehensive Care Agency"
